player,mode,startedAt,durationMs,totalScore,t(ms),lap,score,note
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,212,1,7.06,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,429,1,13.45,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,644,1,18.66,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,859,1,22.58,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,1071,1,26.14,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,1272,1,29.67,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,1484,1,33.44,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,1697,1,37.15,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,1897,1,40.52,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,2111,1,43.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,2325,1,45.62,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,2541,1,47.57,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,2757,1,49.5,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,2970,1,50.94,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,3184,1,52.2,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,3400,1,53.78,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,3616,1,55.09,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,3826,1,56.01,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,4027,1,56.93,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,4239,1,57.55,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,4439,1,57.73,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,4651,1,57.59,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,4863,1,57.52,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,5074,1,57.42,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,5275,1,57.46,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,5487,1,57.48,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,5702,1,57.49,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,5918,1,57.24,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,6131,1,56.29,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,6346,1,55.09,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,6561,1,54.71,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,6773,1,54.82,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,6973,1,55.43,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,7187,1,55.91,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,7398,1,56.35,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,7598,1,56.38,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,7814,1,56.8,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,8029,1,57.91,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,8232,1,59.6,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,8443,1,61.16,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,8657,1,62.64,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,8863,1,64.74,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,9063,1,66.88,
