player,mode,startedAt,durationMs,totalScore,t(ms),lap,score,note
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,9277,1,68.92,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,9477,1,71.21,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,9689,1,73.8,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,9902,1,76.69,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,10120,1,80.08,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,10320,1,83.43,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,10533,1,87.0,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,10747,1,90.61,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,10947,1,94.11,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,11158,1,97.82,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,11361,1,101.79,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,11573,1,105.71,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,11773,1,109.65,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,11974,1,113.59,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,12186,1,117.57,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,12386,1,121.45,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,12586,1,125.39,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,12801,1,129.58,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,13017,1,133.91,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,13231,1,138.09,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,13447,1,142.31,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,13659,1,146.14,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,13871,1,150.28,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,14073,1,154.62,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,14286,1,158.58,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,14501,1,162.78,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,14701,1,167.04,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,14917,1,171.38,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,15132,1,175.85,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,15344,1,179.77,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,15545,1,184.02,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,15759,1,188.14,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,15972,1,192.23,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,16184,1,195.85,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,16400,1,200.43,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,16609,1,203.09,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,16822,1,205.66,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,17038,1,208.49,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,17255,1,211.04,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,17456,1,213.06,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,17671,1,214.38,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,17885,1,215.34,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,18103,1,216.67,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,18313,1,216.84,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,18515,1,218.08,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,18731,1,218.53,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,18946,1,218.91,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,19159,1,219.0,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,19360,1,219.53,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,19564,1,220.88,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,19778,1,220.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,19992,1,220.4,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,20194,1,221.1,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,28456,1,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,28381,1,1040.63,POWERUP_TURBO
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,28665,1,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,28878,1,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,29080,1,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,29280,1,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,29494,1,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,29695,1,1040.63,POWERUP_TURBO
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,29713,1,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,29928,1,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,30097,1,1040.63,POWERUP_ESCUDO
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,30144,1,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,30345,1,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,30558,1,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,30771,1,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,30987,1,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,31200,1,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,31400,1,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,31612,1,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,31826,1,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,32040,1,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,32253,1,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,32468,1,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,32668,1,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,32880,1,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,33095,1,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,33297,1,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,33499,1,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,33516,2,1040.63,NEXT
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,33701,2,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,33902,2,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,34103,2,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,34317,2,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,34534,2,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,34734,2,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,34951,2,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,35151,2,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,35355,2,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,35568,2,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,35768,2,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,35983,2,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,36201,2,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,36397,2,1040.63,POWERUP_ESCUDO
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,36414,2,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,36627,2,1040.63,
Jugador/a,carreras,2025-09-27T22:47:08,90000,1040.63,36839,2,1040.63,
