player,mode,startedAt,durationMs,totalScore,t(ms),lap,score,note
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,216,1,23.914834258276258,
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,429,1,45.07688328156786,
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,630,1,61.767866530991306,
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,831,1,75.89136633318434,
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,1046,1,88.97579350460076,
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,1258,1,100.20020301653763,
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,1459,1,109.92434378282903,
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,1672,1,118.88657797654248,
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,1885,1,127.13503506090304,
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,2102,1,134.97034683085178,
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,2302,1,141.71988016786375,
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,2469,2,147.60200318007261,NEXT
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,2503,2,148.16577313237153,
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,2704,2,154.23745250270255,
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,2917,2,159.80885842552408,
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,3020,3,163.3568812222124,NEXT
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,3119,3,165.472196329113,
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,3333,3,170.5310629114984,
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,3484,4,174.73220087847366,NEXT
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,3535,4,175.66611609731717,
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,3736,4,180.61749211402366,
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,3853,5,183.8286019213664,NEXT
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,3937,5,185.4049504046504,
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,4138,5,190.04799734138143,
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,4137,6,190.28687738126072,NEXT
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,4320,7,194.2364667423343,NEXT
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,4354,7,194.6668197411993,
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,4554,7,198.99389841968818,
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,4769,7,202.82214039553133,
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,4970,7,206.22338450818714,
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,5171,7,209.2397069236623,
Jugador/a,carreras,2025-09-29T21:41:45,60000,212.04,5387,7,211.24030146397504,
